    Question         Response
 1  to be not        To be, or not to be, that is the question,
 2  indeed heavily   custom of exercises; and indeed it goes so heavily
 3  here there       Hath in the skirts of Norway here and there
 4  Denmark          Denmark's a prison.
 5  you say          Arm'd, say you?
 6  say what         Another hit; what say you?
 7  sleep die        Devoutly to be wish'd. To die, to sleep;
 8  what work        anon; 'tis a knavish piece of work: but what o'
 9  what piece       What a piece of work is a man! how noble in reason!
10  king conscience  Wherein I'll catch the conscience of the king.
11  dust delights    what is this quintessence of dust? man delights not
12  despised         The pangs of despised love, the law's delay,
13  action name      And lose the name of action.--Soft you now!
14  dream            A dream itself is but a shadow.

